transaction_id,customer_id,customer_name,customer_age,customer_gender,customer_address,transaction_date,transaction_amount,merchant_category,payment_method
c869e1e3-ab8f-4304-bb1c-f7d4f1498e10,b28b7d40-a3de-4433-9aef-e6881294bccd,Diane Jones,53,Other,"8919 Travis Keys Apt. 974
Port Jasonland, MA 48846",2021-02-25,681.82,Grocery,Online Payment
5c10169b-c927-4d8e-aeea-4eeaaa69917d,1b1487da-3d2c-4be7-887c-50dde56adc7a,Sherri Hicks,48,Female,"2243 Charles Divide
North Julie, IL 53487",2022-11-02,854.29,Grocery,Online Payment
ebe9bb2a-8840-4738-b87d-b17be7c35766,4842dcb7-4259-4456-871d-87ae20432e19,Gary Reid,76,Other,"54860 Tristan Burgs
West Clayton, AK 07742",2024-02-27,127.93,Grocery,Credit Card
015f3321-b4fc-40e5-8dc8-0e6e55fa87ad,b82a16e1-629b-4455-a9dd-112f6d9f0c16,Lisa Tapia,45,Other,"80437 Ewing Knolls
Lake Matthew, LA 92231",2021-01-07,929.7,Entertainment,Cash
6e613aa6-7314-4d9e-8261-f59563c6daa8,66bf4802-a652-4733-b9d7-cfb7ba6e7551,Jill Mason,61,Male,"8609 Carpenter Falls
West Larry, NV 91592",2022-07-17,970.9,Grocery,Online Payment
a48cc9ba-1e33-4bd0-8a6b-b9ba6743f7f5,a91ec31e-1eb3-42a2-aa60-db8f69bbfdd3,Michelle Harvey,63,Male,"71977 Randall Ridge
Smithhaven, NV 23968",2023-10-16,195.52,Grocery,Cash
9f90edca-975b-42f3-8852-db24ff206814,cffe53e9-7cf1-4c1f-8704-e967a9cfb5a1,Jenna Bernard,59,Male,"8273 Alexandra Bypass Suite 927
East Kirk, AR 11973",2022-10-28,508.24,Electronics,Credit Card
60f61e73-3e7b-4762-b591-4cd3457a2639,7aa29e05-c576-4024-a691-9a47e717eab2,Brenda Middleton,36,Female,"57829 Lindsay Turnpike
North Brendan, NV 91497",2022-11-11,337.72,Clothing,Debit Card
b65fa5cb-6c05-4f17-aabb-d263df0c546d,7e2709b3-7f7d-41dc-b9b4-bfebe56748e0,Debbie Baker,41,Male,"81868 Jeffrey Plains Suite 864
New Brian, MT 40372",2021-03-20,315.1,Travel,Debit Card
8bdcd4b4-5a0e-47e4-a575-6695ec4ba54c,03d8cd01-3c72-4487-9b20-5ca21d56c5ed,Ryan Smith,71,Female,"USCGC Rivera
FPO AP 14746",2023-11-08,107.65,Electronics,Cash
319a83fd-c076-460b-98c2-8be4cb324e5b,fc17ae7d-da2f-4b22-89df-e3c53bc6a067,Tiffany Kim,29,Male,"94324 Kim Fall
Smithmouth, HI 96025",2024-07-20,567.37,Grocery,Debit Card
b4572ebe-2752-44d8-8497-6828655eb971,ce06f66e-966a-431f-a42b-c031788b8c58,Dylan Mason,36,Female,"28463 Peter Roads Suite 949
Williammouth, PA 97212",2021-09-16,383.63,Grocery,Debit Card
adfde595-80af-42ef-9e1c-dbd2d8017b17,670998ee-cbe0-445d-bc06-1d31b4c71630,Elizabeth Thompson,37,Male,"30298 Rebecca Landing Apt. 078
East Gabrielbury, NV 79359",2020-04-09,678.47,Dining,Online Payment
41845fd9-b002-490c-a03c-33bacfadcc6d,b5ac9f73-a76b-4f16-8f11-a0976be58bfe,David Cooper,24,Male,"02204 Boyd Stream Apt. 198
Hulltown, NY 60925",2021-03-28,231.79,Entertainment,Credit Card
87e8b8bd-5a9c-4f78-bcc6-b137c3b85e60,583c3400-09b7-41d6-8cfc-1bccf4a04d2f,David Conway,77,Male,"66166 Jodi Corners
New Jonathan, UT 10328",2020-01-31,329.59,Travel,Debit Card
14d1a495-7909-4599-afeb-f8cf8077225d,8447b050-e43d-4a7b-9ad1-f34533047fe6,Sandra Brooks,77,Male,"6722 James Center
Royland, NV 30684",2022-04-01,799.08,Dining,Cash
4c9d8f98-1f60-4539-a3db-2901c60b7e36,5323a36b-5fdf-4ff2-bf0d-98e6e6f0ad98,John Perez,55,Male,"769 Smith Terrace Apt. 901
South Amy, MN 40459",2022-03-17,532.62,Travel,Online Payment
e09aef72-b731-4463-8d54-8d217747928c,9a0cb4b5-8418-48d7-b713-e8e4f0bf3df1,Jose Johnson,55,Female,"230 Diana Stravenue
Elizabethmouth, IN 30133",2022-06-11,708.91,Electronics,Debit Card
a9c0ebb9-a627-4693-9e58-1a4f2e75d8ac,06644c6e-b9b6-4b6d-8717-a465fb44922c,Anthony Booth,53,Female,"USCGC Hoffman
FPO AP 18401",2020-05-08,469.78,Clothing,Debit Card
4164700b-f798-4582-b468-b3902df8534e,bbd59e41-c7b5-4656-88e0-8f37e82675d3,Derek Marshall,20,Male,"8366 Gordon Isle Suite 501
Schmidtfurt, UT 91911",2022-11-12,570.99,Clothing,Credit Card
08552c6a-de5b-4b34-8432-873a7c4419ef,f526ee00-dec0-4644-9231-da0428893d7c,Frederick Peters,74,Female,"8537 Matthew Glen Apt. 399
Alisonland, WY 66186",2021-12-28,886.62,Grocery,Cash
f4495f10-eb43-4538-9f3d-bf4cc06f1909,c922e076-c6a5-48cc-9340-d1249698e659,Cynthia Moore,46,Male,"447 Robinson Avenue Apt. 967
East Susan, AK 44016",2021-08-20,443.8,Clothing,Online Payment
28ff1f26-22db-43d2-89c4-11060464811b,d00fe433-0675-4e34-a8d4-db22f548fd69,Katrina Johnson,29,Other,"Unit 5773 Box 8118
DPO AP 86981",2022-01-11,194.42,Clothing,Cash
53e04664-9edb-4827-b88b-b8dcea692ea7,db296b04-da8a-4afd-a92d-ffe2f0c52b2d,Jonathan Martinez,83,Female,"USNV Juarez
FPO AA 10875",2021-12-05,785.79,Entertainment,Cash
befa41e5-1847-45bf-bfd8-85df720fdd81,1b3d9aa5-7eff-4e1f-987c-5440c13650ee,Brian Mcclain,21,Female,"1094 Kayla Ports Apt. 300
Scottburgh, FL 21839",2020-06-06,596.38,Grocery,Cash
b8d14f49-a9b6-4401-a9ce-b63ccd0966f6,492f3961-fb85-44a8-bd5c-9be15062d04b,Kimberly Hudson,84,Other,"710 Hudson Hollow Suite 867
Justinmouth, TX 73161",2022-01-06,705.32,Clothing,Cash
cc849fd3-53d3-4238-be5c-bd705b33fafc,6fd5be65-1c19-40ab-80fb-2ac50af1c294,Lindsay Dean,71,Male,"82146 Higgins Flat Suite 598
West James, PA 02575",2022-06-18,452.76,Entertainment,Online Payment
724180f4-1022-4b91-8c0d-9cd8ece58a70,589b9a35-57f6-41a6-bab2-a6a6297258b3,Ryan Hughes,46,Other,"49343 West Haven Apt. 750
North Michellefort, AR 37384",2021-11-30,441.44,Dining,Credit Card
679fb60e-9640-4324-8f34-cbc7ba3b1f77,e8ba0b1a-11d9-48aa-91e6-14e321c35b84,David Peterson,73,Female,"591 Walter Ranch
Ryanmouth, OH 43763",2020-09-24,419.34,Electronics,Online Payment
8b5e6bf6-3403-4af8-b4b1-bf8d5eb452c0,8964fea0-7329-409f-b075-15a76ea974a6,Sean Peters,81,Other,"53004 Justin Alley Apt. 362
Lake Brianamouth, NE 67151",2023-09-26,466.18,Dining,Cash
c3ae0af5-b1ce-4f12-a915-70b531b9f410,786ab9d7-84a2-4d6e-8d1d-b19fa860eeb4,Anne Collier,88,Male,"617 Matthew Roads Apt. 108
Port Andreaside, IA 36486",2021-03-31,713.18,Electronics,Cash
d522ca7d-d3b4-4ea6-976f-548f85f25543,a594ecbd-123f-4dfc-9fb4-436a6bdfa39e,Mitchell Whitaker,41,Other,"812 Stephenson Orchard
Thomasstad, ID 92908",2024-06-29,982.6,Grocery,Online Payment
52890219-75dd-4bf9-9955-04504f7eadfd,e868afdb-8f1b-4c31-ac17-7da2c7c8bfa6,Scott Hernandez,75,Other,"0201 Bonnie Crossroad
Warrenberg, IA 15752",2021-10-11,245.58,Dining,Cash
92511ab8-ec18-43e9-96c4-488739894c4b,ba244426-e337-4258-ac8e-8f6e432da700,Rebecca Montgomery DDS,74,Male,"658 Long Trace
Baileyburgh, OK 47881",2022-11-29,549.56,Grocery,Online Payment
0941009c-7e0b-4091-99dc-9f0543760039,3d3118e8-aece-452b-b52f-66bc62aa2ed1,Rachel White,48,Female,"70225 Samantha Camp
North Krista, VT 27554",2021-10-26,409.68,Grocery,Credit Card
54008bc1-97b5-4b3a-9d2a-6aa28fada02d,7a452f0f-57b8-4578-af41-80dbb217d613,Jon Gray PhD,64,Female,"109 Hinton Pike
Mendezchester, IA 11759",2023-03-28,188.55,Clothing,Cash
77786dc2-1dd1-4a82-b4d4-b223fb5bc1a8,93af31dd-adc7-4c58-9944-3cc04370cd87,Ray Warren,28,Other,"19766 Martin Ferry
North Rebecca, ND 66172",2020-10-30,791.89,Electronics,Online Payment
aa2d74b7-01b0-4549-a7e1-e960dc4f2474,c97cf6ed-91ab-4a8d-9d27-1168c1fa3e3f,Chelsea Murphy,27,Other,"31471 Dawson Forge Suite 660
Port Susan, AR 27322",2024-01-19,842.98,Entertainment,Cash
7c69a9b1-fa78-489d-8afe-052c397d0b60,f212327c-6285-4a84-9709-6e80d51b52a8,Nancy Mcdaniel,46,Other,"76523 Lewis Hollow
Johnsonmouth, ID 02923",2021-03-27,385.32,Dining,Online Payment
